location,table_name,row_id,field_name,base_value_preview
Simulator 'The Meeting That Changed Your Narrative' feedback tier 664 (metric 26),simulator_feedback_tiers,664,strength_result,You may hesitate to express your needs or hold space for you
Simulator 'The Meeting That Changed Your Narrative' feedback tier 664 (metric 26),simulator_feedback_tiers,664,risk_result,Others may unintentionally dominate conversations when bound
Simulator 'The Meeting That Changed Your Narrative' feedback tier 664 (metric 26),simulator_feedback_tiers,664,micro_practice,Practice saying one clear opinion in meetings without apolog
Simulator 'The Meeting That Changed Your Narrative' feedback tier 664 (metric 26),simulator_feedback_tiers,664,recommendation_reason,This module helps participants communicate more clearly and 
Simulator 'The Meeting That Changed Your Narrative' feedback tier 665 (metric 27),simulator_feedback_tiers,665,strength_result,You may accept limiting thoughts as objective truth instead 
Simulator 'The Meeting That Changed Your Narrative' feedback tier 665 (metric 27),simulator_feedback_tiers,665,risk_result,Old narratives can quietly shape your decisions and confiden
Simulator 'The Meeting That Changed Your Narrative' feedback tier 665 (metric 27),simulator_feedback_tiers,665,micro_practice,Write down one recurring negative belief and ask: “Where did
Simulator 'The Meeting That Changed Your Narrative' feedback tier 665 (metric 27),simulator_feedback_tiers,665,recommendation_reason,This module encourages participants to better understand the
Simulator 'The Meeting That Changed Your Narrative' feedback tier 666 (metric 28),simulator_feedback_tiers,666,strength_result,Difficult feedback or setbacks may strongly affect your conf
Simulator 'The Meeting That Changed Your Narrative' feedback tier 666 (metric 28),simulator_feedback_tiers,666,risk_result,Fear of failure can lead to avoidance and self-protection be
Simulator 'The Meeting That Changed Your Narrative' feedback tier 666 (metric 28),simulator_feedback_tiers,666,micro_practice,"After setbacks, write one thing the experience taught you."
Simulator 'The Meeting That Changed Your Narrative' feedback tier 666 (metric 28),simulator_feedback_tiers,666,recommendation_reason,This module helps participants build healthier recovery habi
"Simulator 'Your Voice, Your Space' feedback tier 670 (metric 21)",simulator_feedback_tiers,670,strength_result,You are becoming more intentional about protecting your onli
"Simulator 'Your Voice, Your Space' feedback tier 670 (metric 21)",simulator_feedback_tiers,670,risk_result,Guilt or fear of conflict may still make boundary-setting di
"Simulator 'Your Voice, Your Space' feedback tier 670 (metric 21)",simulator_feedback_tiers,670,micro_practice,Review your social media settings and adjust one boundary th
"Simulator 'Your Voice, Your Space' feedback tier 670 (metric 21)",simulator_feedback_tiers,670,recommendation_reason,This module supports participants in protecting their wellbe
"Simulator 'Your Voice, Your Space' feedback tier 671 (metric 21)",simulator_feedback_tiers,671,strength_result,You show strong awareness of your limits and protect your di
"Simulator 'Your Voice, Your Space' feedback tier 671 (metric 21)",simulator_feedback_tiers,671,risk_result,Be mindful not to isolate yourself completely while protecti
"Simulator 'Your Voice, Your Space' feedback tier 671 (metric 21)",simulator_feedback_tiers,671,micro_practice,Reflect on one boundary that improved your wellbeing recentl
"Simulator 'Your Voice, Your Space' feedback tier 671 (metric 21)",simulator_feedback_tiers,671,recommendation_reason,"This module helps participants balance visibility, confidenc"
"Simulator 'Your Voice, Your Space' feedback tier 672 (metric 22)",simulator_feedback_tiers,672,strength_result,You are learning to show up online more confidently and inte
"Simulator 'Your Voice, Your Space' feedback tier 672 (metric 22)",simulator_feedback_tiers,672,risk_result,Negative comments or comparison may still affect your confid
"Simulator 'Your Voice, Your Space' feedback tier 672 (metric 22)",simulator_feedback_tiers,672,micro_practice,"Before posting, ask yourself: “Am I sharing from fear or aut"
"Simulator 'Your Voice, Your Space' feedback tier 672 (metric 22)",simulator_feedback_tiers,672,recommendation_reason,This module supports participants in expressing themselves o
"Simulator 'Your Voice, Your Space' feedback tier 673 (metric 22)",simulator_feedback_tiers,673,strength_result,"You express yourself online with clarity, confidence, and pu"
"Simulator 'Your Voice, Your Space' feedback tier 673 (metric 22)",simulator_feedback_tiers,673,risk_result,High visibility can sometimes increase pressure to perform c
"Simulator 'Your Voice, Your Space' feedback tier 673 (metric 22)",simulator_feedback_tiers,673,micro_practice,Schedule intentional offline time to recharge from digital e
"Simulator 'Your Voice, Your Space' feedback tier 673 (metric 22)",simulator_feedback_tiers,673,recommendation_reason,This module helps participants build a confident and authent
"Simulator 'Your Voice, Your Space' feedback tier 674 (metric 23)",simulator_feedback_tiers,674,strength_result,You are becoming more aware of how digital spaces affect you
"Simulator 'Your Voice, Your Space' feedback tier 674 (metric 23)",simulator_feedback_tiers,674,risk_result,Stressful interactions may still linger emotionally longer t
"Simulator 'Your Voice, Your Space' feedback tier 674 (metric 23)",simulator_feedback_tiers,674,micro_practice,Take one intentional social media break this week and notice
"Simulator 'Your Voice, Your Space' feedback tier 674 (metric 23)",simulator_feedback_tiers,674,recommendation_reason,This module supports participants in creating more emotional
"Simulator 'Your Voice, Your Space' feedback tier 675 (metric 23)",simulator_feedback_tiers,675,strength_result,You maintain strong emotional awareness and protect your pea
"Simulator 'Your Voice, Your Space' feedback tier 675 (metric 23)",simulator_feedback_tiers,675,risk_result,Constant emotional awareness can become draining without res
"Simulator 'Your Voice, Your Space' feedback tier 675 (metric 23)",simulator_feedback_tiers,675,micro_practice,Create one offline ritual that helps you reconnect with your
"Simulator 'Your Voice, Your Space' feedback tier 675 (metric 23)",simulator_feedback_tiers,675,recommendation_reason,This module helps participants regulate stress and maintain 
"Simulator 'Your Voice, Your Space' feedback tier 676 (metric 24)",simulator_feedback_tiers,676,strength_result,You are beginning to express yourself more openly and authen
"Simulator 'Your Voice, Your Space' feedback tier 676 (metric 24)",simulator_feedback_tiers,676,risk_result,External validation may still shape what you choose to share
"Simulator 'Your Voice, Your Space' feedback tier 676 (metric 24)",simulator_feedback_tiers,676,micro_practice,Ask yourself whether your content reflects who you truly are
"Simulator 'Your Voice, Your Space' feedback tier 676 (metric 24)",simulator_feedback_tiers,676,recommendation_reason,This module helps participants align their online presence w
"Simulator 'Your Voice, Your Space' feedback tier 677 (metric 24)",simulator_feedback_tiers,677,strength_result,You communicate authentically online while staying grounded 
"Simulator 'Your Voice, Your Space' feedback tier 677 (metric 24)",simulator_feedback_tiers,677,risk_result,Authenticity can sometimes create emotional vulnerability if
"Simulator 'Your Voice, Your Space' feedback tier 677 (metric 24)",simulator_feedback_tiers,677,micro_practice,Reflect on how your online presence positively impacts other
"Simulator 'Your Voice, Your Space' feedback tier 677 (metric 24)",simulator_feedback_tiers,677,recommendation_reason,This module inspires participants to use their voice and vis
Simulator 'The Meeting That Changed Your Narrative' feedback tier 678 (metric 25),simulator_feedback_tiers,678,strength_result,You are beginning to recognize your abilities and challenge 
Simulator 'The Meeting That Changed Your Narrative' feedback tier 678 (metric 25),simulator_feedback_tiers,678,risk_result,"In stressful moments, old narratives may still reappear auto"
Simulator 'The Meeting That Changed Your Narrative' feedback tier 678 (metric 25),simulator_feedback_tiers,678,micro_practice,"Before difficult situations, remind yourself of one past suc"
Simulator 'The Meeting That Changed Your Narrative' feedback tier 678 (metric 25),simulator_feedback_tiers,678,recommendation_reason,Reinforces consistency between your experiences and your sel
Simulator 'The Meeting That Changed Your Narrative' feedback tier 679 (metric 25),simulator_feedback_tiers,679,strength_result,You show strong self-trust and are increasingly grounded in 
Simulator 'The Meeting That Changed Your Narrative' feedback tier 679 (metric 25),simulator_feedback_tiers,679,risk_result,Be careful not to dismiss the importance of rest and support
Simulator 'The Meeting That Changed Your Narrative' feedback tier 679 (metric 25),simulator_feedback_tiers,679,micro_practice,Practice receiving compliments without minimizing your achie
Simulator 'The Meeting That Changed Your Narrative' feedback tier 679 (metric 25),simulator_feedback_tiers,679,recommendation_reason,Helps transform confidence into visible leadership presence.
Simulator 'The Meeting That Changed Your Narrative' feedback tier 680 (metric 26),simulator_feedback_tiers,680,strength_result,"You communicate your thoughts more openly, especially in fam"
Simulator 'The Meeting That Changed Your Narrative' feedback tier 680 (metric 26),simulator_feedback_tiers,680,risk_result,"Under pressure, you may still shrink your message to avoid c"
Simulator 'The Meeting That Changed Your Narrative' feedback tier 680 (metric 26),simulator_feedback_tiers,680,micro_practice,Replace “Sorry” with “Thank you for waiting” once per day.
Simulator 'The Meeting That Changed Your Narrative' feedback tier 680 (metric 26),simulator_feedback_tiers,680,recommendation_reason,This module supports participants in staying grounded and co
Simulator 'The Meeting That Changed Your Narrative' feedback tier 681 (metric 26),simulator_feedback_tiers,681,strength_result,You communicate assertively while maintaining respect and cl
Simulator 'The Meeting That Changed Your Narrative' feedback tier 681 (metric 26),simulator_feedback_tiers,681,risk_result,Be mindful not to carry the emotional labor of always stayin
Simulator 'The Meeting That Changed Your Narrative' feedback tier 681 (metric 26),simulator_feedback_tiers,681,micro_practice,Practice pausing before speaking to make your message even m
Simulator 'The Meeting That Changed Your Narrative' feedback tier 681 (metric 26),simulator_feedback_tiers,681,recommendation_reason,This module helps participants express their ideas and perso
Simulator 'The Meeting That Changed Your Narrative' feedback tier 682 (metric 27),simulator_feedback_tiers,682,strength_result,You are becoming more aware of how your thoughts shape your 
Simulator 'The Meeting That Changed Your Narrative' feedback tier 682 (metric 27),simulator_feedback_tiers,682,risk_result,Awareness alone is not enough unless paired with intentional
Simulator 'The Meeting That Changed Your Narrative' feedback tier 682 (metric 27),simulator_feedback_tiers,682,micro_practice,Reframe one self-critical thought each day into a balanced s
Simulator 'The Meeting That Changed Your Narrative' feedback tier 682 (metric 27),simulator_feedback_tiers,682,recommendation_reason,This module helps participants consciously reshape limiting 
Simulator 'The Meeting That Changed Your Narrative' feedback tier 683 (metric 27),simulator_feedback_tiers,683,strength_result,You actively question and reshape limiting narratives in emp
Simulator 'The Meeting That Changed Your Narrative' feedback tier 683 (metric 27),simulator_feedback_tiers,683,risk_result,Constant self-analysis can become exhausting if overdone.
Simulator 'The Meeting That Changed Your Narrative' feedback tier 683 (metric 27),simulator_feedback_tiers,683,micro_practice,Share one empowering story about yourself with someone you t
Simulator 'The Meeting That Changed Your Narrative' feedback tier 683 (metric 27),simulator_feedback_tiers,683,recommendation_reason,This module supports participants in sharing their personal 
Simulator 'The Meeting That Changed Your Narrative' feedback tier 684 (metric 28),simulator_feedback_tiers,684,strength_result,You recover from challenges more effectively and are learnin
Simulator 'The Meeting That Changed Your Narrative' feedback tier 684 (metric 28),simulator_feedback_tiers,684,risk_result,Stress may still trigger old patterns of self-doubt.
Simulator 'The Meeting That Changed Your Narrative' feedback tier 684 (metric 28),simulator_feedback_tiers,684,micro_practice,Identify one challenge this week that ultimately helped you 
Simulator 'The Meeting That Changed Your Narrative' feedback tier 684 (metric 28),simulator_feedback_tiers,684,recommendation_reason,This module supports participants in strengthening self-beli
Simulator 'The Meeting That Changed Your Narrative' feedback tier 685 (metric 28),simulator_feedback_tiers,685,strength_result,You respond to setbacks with adaptability and emotional stre
Simulator 'The Meeting That Changed Your Narrative' feedback tier 685 (metric 28),simulator_feedback_tiers,685,risk_result,High resilience can sometimes mask emotional exhaustion.
Simulator 'The Meeting That Changed Your Narrative' feedback tier 685 (metric 28),simulator_feedback_tiers,685,micro_practice,Schedule intentional recovery time after demanding situation
Simulator 'The Meeting That Changed Your Narrative' feedback tier 685 (metric 28),simulator_feedback_tiers,685,recommendation_reason,This module helps participants move forward with confidence 
